id_chamado,id_ativo,categoria_equipamento,filial_operacao,dt_abertura_chamado,sla_prometido_horas,tempo_atendimento_horas,custo_manutencao,status_ativo
CH-10000,EQP-202,Utilitário Leve,Uberlândia,2026-04-23 11:00:00,24,8.5,1944.4,Em Operação
CH-10001,EQP-279,Caminhão Heavy Duty,Ribeirão Preto,2026-02-16 10:00:00,48,111.9,3651.74,Em Operação
CH-10002,EQP-192,Utilitário Leve,Uberlândia,2026-02-26 16:00:00,24,12.7,6361.5,Em Manutenção
CH-10003,EQP-114,Escavadeira Linha Amarela,Cuiabá,2026-04-28 03:00:00,72,12.3,9051.79,Em Operação
CH-10004,EQP-206,Trator Agro,Ribeirão Preto,2026-02-14 14:00:00,72,11.2,10087.41,Em Operação
CH-10005,EQP-171,Caminhão Heavy Duty,Cuiabá,2026-06-10 08:00:00,72,3.9,8540.72,Em Operação
CH-10006,EQP-288,Caminhão Heavy Duty,Jundiaí,2026-05-25 20:00:00,24,3.5,11164.58,Em Operação
CH-10007,EQP-120,Trator Agro,Mogi das Cruzes,2026-01-04 19:00:00,48,31.3,8943.3,Em Operação
CH-10008,EQP-202,Utilitário Leve,Ribeirão Preto,2026-05-28 18:00:00,48,62.4,3883.33,Em Operação
CH-10009,EQP-221,Trator Agro,Jundiaí,2026-02-16 18:00:00,24,46.9,3401.45,Em Manutenção
CH-10010,EQP-174,Utilitário Leve,Jundiaí,2026-05-23 11:00:00,24,4.6,8445.45,Em Manutenção
CH-10011,EQP-187,Trator Agro,Ribeirão Preto,2026-02-16 04:00:00,48,23.7,2556.59,Em Operação
CH-10012,EQP-216,Escavadeira Linha Amarela,Cuiabá,2026-03-19 09:00:00,48,3.3,1384.76,Em Operação
CH-10013,EQP-199,Utilitário Leve,Jundiaí,2026-05-04 16:00:00,48,1.4,6527.01,Em Operação
CH-10014,EQP-203,Escavadeira Linha Amarela,Uberlândia,2026-03-16 04:00:00,48,32.0,9913.21,Em Operação
CH-10015,EQP-251,Caminhão Heavy Duty,Jundiaí,2026-04-13 21:00:00,24,23.0,1486.14,Em Operação
CH-10016,EQP-230,Trator Agro,Cuiabá,2026-05-17 15:00:00,24,2.6,9565.13,Em Operação
CH-10017,EQP-249,Caminhão Heavy Duty,Cuiabá,2026-03-31 06:00:00,72,1.1,9795.39,Em Manutenção
CH-10018,EQP-152,Caminhão Heavy Duty,Uberlândia,2026-05-24 08:00:00,48,137.4,5942.61,Em Manutenção
CH-10019,EQP-101,Caminhão Heavy Duty,Jundiaí,2026-03-10 02:00:00,72,0.9,970.53,Em Operação
CH-10020,EQP-187,Caminhão Heavy Duty,Cuiabá,2026-03-02 14:00:00,24,17.6,2342.7,Em Operação
CH-10021,EQP-257,Trator Agro,Ribeirão Preto,2026-05-18 15:00:00,24,21.1,8576.89,Em Operação
CH-10022,EQP-137,Caminhão Heavy Duty,Mogi das Cruzes,2026-02-19 17:00:00,72,3.7,8627.8,Em Operação
CH-10023,EQP-229,Trator Agro,Mogi das Cruzes,2026-01-03 13:00:00,48,5.6,10810.76,Em Operação
CH-10024,EQP-291,Trator Agro,Mogi das Cruzes,2026-04-17 02:00:00,48,13.0,7117.43,Em Operação
CH-10025,EQP-287,Escavadeira Linha Amarela,Jundiaí,2026-04-23 11:00:00,48,43.0,1752.06,Em Operação
CH-10026,EQP-120,Utilitário Leve,Uberlândia,2026-04-04 08:00:00,48,21.2,1720.55,Em Operação
CH-10027,EQP-260,Utilitário Leve,Cuiabá,2026-04-28 06:00:00,72,30.5,8737.25,Em Operação
CH-10028,EQP-157,Trator Agro,Ribeirão Preto,2026-03-22 08:00:00,72,126.3,2450.28,Em Operação
CH-10029,EQP-121,Escavadeira Linha Amarela,Ribeirão Preto,2026-04-19 12:00:00,24,43.8,4142.11,Em Operação
CH-10030,EQP-188,Trator Agro,Jundiaí,2026-02-20 17:00:00,48,17.1,6000.38,Em Operação
CH-10031,EQP-148,Trator Agro,Mogi das Cruzes,2026-05-27 04:00:00,48,17.7,589.75,Em Operação
CH-10032,EQP-158,Trator Agro,Jundiaí,2026-06-19 12:00:00,48,28.9,3211.18,Em Manutenção
CH-10033,EQP-269,Escavadeira Linha Amarela,Uberlândia,2026-02-04 03:00:00,72,32.8,5072.31,Em Operação
CH-10034,EQP-287,Utilitário Leve,Uberlândia,2026-02-15 01:00:00,48,20.8,3571.74,Em Operação
CH-10035,EQP-114,Escavadeira Linha Amarela,Cuiabá,2026-06-03 15:00:00,72,31.1,1895.53,Em Operação
CH-10036,EQP-289,Caminhão Heavy Duty,Cuiabá,2026-03-10 08:00:00,48,0.7,8817.74,Em Operação
CH-10037,EQP-289,Escavadeira Linha Amarela,Uberlândia,2026-04-03 08:00:00,48,16.8,9813.83,Em Operação
CH-10038,EQP-274,Escavadeira Linha Amarela,Uberlândia,2026-03-05 05:00:00,24,9.8,3312.5,Em Operação
CH-10039,EQP-289,Escavadeira Linha Amarela,Uberlândia,2026-06-14 10:00:00,48,4.1,9360.71,Em Operação
CH-10040,EQP-150,Escavadeira Linha Amarela,Jundiaí,2026-02-18 21:00:00,48,3.1,4810.98,Em Operação
CH-10041,EQP-207,Utilitário Leve,Uberlândia,2026-05-29 21:00:00,24,27.7,6228.22,Em Operação
CH-10042,EQP-154,Caminhão Heavy Duty,Ribeirão Preto,2026-03-15 00:00:00,72,22.2,10315.21,Em Operação
CH-10043,EQP-163,Utilitário Leve,Mogi das Cruzes,2026-01-05 03:00:00,72,8.8,9074.46,Em Operação
CH-10044,EQP-230,Utilitário Leve,Uberlândia,2026-04-10 12:00:00,48,19.1,9719.87,Em Operação
